iter	Passed	Remaining
531	10033	8826
532	10053	8808
533	10070	8787
534	10086	8766
535	10105	8747
536	10124	8728
537	10139	8706
538	10156	8687
539	10173	8666
540	10193	8648
541	10213	8631
542	10229	8609
543	10246	8588
544	10267	8571
545	10299	8563
546	10316	8543
547	10331	8521
548	10346	8499
549	10368	8483
550	10384	8462
551	10401	8441
552	10422	8424
553	10437	8402
554	10452	8381
555	10469	8360
556	10482	8337
557	10502	8319
558	10524	8302
559	10545	8286
560	10563	8265
561	10581	8246
562	10605	8232
563	10626	8214
564	10647	8197
565	10668	8180
566	10694	8167
567	10718	8152
568	10736	8132
569	10755	8113
570	10779	8098
571	10797	8079
572	10819	8062
573	10833	8040
574	10850	8019
575	10867	7999
576	10885	7979
577	10906	7963
578	10925	7943
579	10939	7921
580	10957	7902
581	10977	7884
582	11000	7868
583	11020	7850
584	11037	7830
585	11060	7813
586	11091	7803
587	11107	7782
588	11128	7765
589	11144	7744
590	11161	7724
591	11185	7708
592	11202	7688
593	11220	7668
594	11239	7650
595	11258	7631
596	11276	7612
597	11292	7591
598	11314	7574
599	11333	7555
600	11353	7537
601	11378	7522
602	11401	7506
603	11418	7486
604	11431	7463
605	11447	7442
606	11470	7426
607	11493	7410
608	11513	7392
609	11530	7371
610	11551	7354
611	11566	7333
612	11581	7311
613	11600	7292
614	11619	7274
615	11639	7255
616	11658	7236
617	11676	7217
618	11703	7203
619	11726	7187
620	11747	7169
621	11769	7152
622	11787	7132
623	11810	7116
624	11827	7096
625	11842	7075
626	11865	7058
627	11881	7038
628	11905	7022
629	11925	7004
630	11946	6986
631	11963	6966
632	11983	6947
633	12006	6930
634	12020	6909
635	12034	6887
636	12059	6871
637	12080	6854
638	12097	6834
639	12114	6814
640	12132	6794
641	12149	6775
642	12174	6759
643	12195	6741
644	12213	6722
645	12229	6701
646	12250	6683
647	12270	6665
648	12289	6646
649	12310	6628
650	12332	6611
651	12345	6589
652	12357	6566
653	12372	6545
654	12386	6524
655	12401	6503
656	12419	6484
657	12435	6463
658	12449	6441
659	12467	6422
660	12483	6402
661	12501	6382
662	12521	6364
663	12535	6343
664	12556	6325
665	12581	6309
666	12606	6293
667	12628	6276
668	12645	6256
669	12666	6238
670	12696	6225
671	12717	6207
672	12735	6187
673	12755	6169
674	12840	6182
675	12865	6166
676	12887	6148
677	12901	6127
678	12919	6107
679	12937	6088
680	12959	6070
681	12974	6049
682	12992	6030
683	13013	6012
684	13032	5993
685	13047	5972
686	13070	5955
687	13089	5935
688	13108	5916
689	13129	5898
690	13149	5880
691	13173	5863
692	13195	5845
693	13214	5826
694	13232	5807
695	13250	5787
696	13270	5768
697	13292	5751
698	13309	5731
699	13328	5712
700	13348	5693
701	13363	5673
702	13381	5653
703	13398	5633
704	13416	5613
705	13432	5593
706	13448	5573
707	13466	5553
708	13485	5535
709	13505	5516
710	13524	5497
711	13542	5477
712	13563	5459
713	13582	5440
714	13600	5421
715	13618	5401
716	13638	5383
717	13662	5366
718	13682	5347
719	13705	5329
720	13722	5310
721	13747	5293
722	13765	5274
723	13784	5254
724	13807	5237
725	13828	5218
726	13848	5200
727	13870	5182
728	13898	5166
729	13918	5148
730	13940	5129
731	13962	5111
732	13981	5092
733	13997	5072
734	14014	5052
735	14031	5033
736	14051	5014
